Crop,Crop_Year,Season,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arhar/Tur,1997,Autumn,25621.0,6487,1496.6,2438350.57,7942.51,0.202777778
Arhar/Tur,1997,Summer,86559.0,16414,1496.6,8237820.03,26833.29,0.216785714
Arhar/Tur,1997,Winter,116553.0,23305,1496.6,11092349.01,36131.43,0.198928571
Groundnut,1997,Autumn,37462.0,34433,1496.6,3565258.54,11613.22,0.840434783
Groundnut,1997,Summer,39729.0,48815,1496.6,3781008.93,12315.99,1.211071429
Groundnut,1997,Winter,8157.0,8905,1496.6,776301.69,2528.67,0.884782609
Horse-gram,1997,Summer,952.0,253,1496.6,90601.84,295.12,0.274444444
Horse-gram,1997,Winter,114779.0,32809,1496.6,10923517.43,35581.49,0.303448276
Jute,1997,Autumn,92010.0,123210,1496.6,8756591.7,28523.1,1.215
Maize,1997,Autumn,51349.0,63331,1496.6,4886884.33,15918.19,0.812
Maize,1997,Summer,1164.0,978,1496.6,110777.88,360.84,0.945714286
Maize,1997,Winter,144.0,136,1496.6,13704.48,44.64,0.9925
Potato,1997,Whole Year,8887.0,87413,1496.6,845775.79,2754.97,8.774
Ragi,1997,Autumn,41987.0,26885,1496.6,3995902.79,13015.97,0.464615385
Ragi,1997,Summer,603.0,429,1496.6,57387.51,186.93,0.576153846
Ragi,1997,Winter,37191.0,19693,1496.6,3539467.47,11529.21,0.488125
Sesamum,1997,Autumn,7286.0,1626,1496.6,693408.62,2258.66,0.212352941
Sesamum,1997,Summer,16106.0,4065,1496.6,1532808.02,4992.86,0.259583333
Sesamum,1997,Winter,48551.0,8316,1496.6,4620598.67,15050.81,0.17
Sugarcane,1997,Winter,18682.0,1144012,1496.6,1777965.94,5791.42,55.64206897
Urad,1997,Autumn,32111.0,8536,1496.6,3056003.87,9954.41,0.233181818
Urad,1997,Summer,2077.0,480,1496.6,197668.09,643.87,0.277826087
Urad,1997,Winter,118618.0,38610,1496.6,11288875.06,36771.58,0.261333333
Wheat,1997,Rabi,5162.0,6360,1496.6,491267.54,1600.22,0.856666667
Arhar/Tur,1999,Kharif,136080.0,85500,1484.3,14442170.4,36741.6,0.642
Bajra,1999,Kharif,4010.0,2350,1484.3,425581.3,1082.7,0.586363636
Castor seed,1999,Kharif,12160.0,6260,1484.3,1290540.8,3283.2,0.5032
Castor seed,1999,Rabi,9720.0,4800,1484.3,1031583.6,2624.4,0.649230769
Coriander,1999,Rabi,25170.0,10330,1484.3,2671292.1,6795.9,0.439655172
Cotton(lint),1999,Kharif,38120.0,61030,1484.3,4045675.6,10292.4,1.215714286
Dry chillies,1999,Kharif,44090.0,38300,1484.3,4679271.7,11904.3,0.832
Dry chillies,1999,Rabi,57420.0,49620,1484.3,6093984.6,15503.4,0.827333333
Garlic,1999,Rabi,17610.0,52280,1484.3,1868949.3,4754.7,2.941
Ginger,1999,Kharif,13070.0,25930,1484.3,1387119.1,3528.9,1.975714286
Gram,1999,Rabi,33610.0,20310,1484.3,3567029.3,9074.7,0.513703704
Groundnut,1999,Kharif,100440.0,103490,1484.3,10659697.2,27118.8,1.105555556
Groundnut,1999,Rabi,150020.0,256770,1484.3,15921622.6,40505.4,1.517857143
Horse-gram,1999,Rabi,290330.0,96910,1484.3,30812722.9,78389.1,0.330869565
Jowar,1999,Kharif,13760.0,8280,1484.3,1460348.8,3715.2,0.582
Jute,1999,Kharif,13890.0,91740,1484.3,1474145.7,3750.3,5.435
Linseed,1999,Rabi,27450.0,10590,1484.3,2913268.5,7411.5,0.516470588
Maize,1999,Kharif,165330.0,206370,1484.3,17546472.9,44639.1,1.160333333
Maize,1999,Rabi,8270.0,10280,1484.3,877695.1,2232.9,1.395357143
Masoor,1999,Rabi,15610.0,7360,1484.3,1656689.3,4214.7,0.401666667
Mesta,1999,Kharif,30370.0,129640,1484.3,3223168.1,8199.9,3.855555556
Moong(Green Gram),1999,Kharif,149000.0,51470,1484.3,15813370.0,40230.0,0.355384615
Moong(Green Gram),1999,Rabi,441000.0,175720,1484.3,46803330.0,119070.0,0.371333333
Niger seed,1999,Kharif,118030.0,38670,1484.3,12526523.9,31868.1,0.376428571
Niger seed,1999,Rabi,19010.0,7020,1484.3,2017531.3,5132.7,0.397142857
Onion,1999,Whole Year,46400.0,368350,1484.3,4924432.0,12528.0,7.043
Potato,1999,Whole Year,8740.0,91050,1484.3,927576.2,2359.8,9.781851852
Ragi,1999,Kharif,202170.0,146790,1484.3,21456302.1,54585.9,0.615357143
